Identifier	A1	A2	A3	A4	A5
GID4000	5.336453537	4.683766695	4.797198763	4.945761021	4.32148518
GID4000	8.905276518	8.709280397	9.479074463	9.511803601	8.533673444
GID4000	7.442157692	7.350104592	7.440605165	5.951532412	6.869690722
GID4000	8.724388607	8.228040784	8.39604613	8.911937291	8.452990833
GID4000	5.148771626	5.796717237	5.605416505	5.565599163	5.862734386
GID4000	4.952136368	5.257500558	5.508834861	5.363434608	4.933726639
GID4000	4.77599834	4.892250278	4.797198763	4.666668723	4.679137902
GID4000	6.144478252	6.93576019	6.102554116	6.581112636	7.032416356
GID4000	4.501692565	4.453202004	4.360567538	4.528204044	4.638318881
GID4000	4.910937202	5.961281802	5.080579125	5.349979643	4.805577503
GID4000	4.298449231	4.872443854	4.276772855	4.205038414	4.080357165
GID4000	8.093883958	6.807654587	7.218417346	7.306248093	6.313570983
GID4000	5.638125668	5.756360532	6.799134849	5.066146052	4.447383315
GID4001	8.712293225	9.712947418	9.241299833	9.784446979	9.720047817
GID4001	5.50064101	5.694752282	6.021555342	5.867709614	5.649726746
GID4001	6.978475157	6.763210583	7.043178187	6.694291341	7.823737845
GID4001	4.698964167	4.487948333	5.080579125	5.280177281	5.045910831
GID4001	5.176316993	5.422260755	5.107675946	5.480572926	5.513055476
GID4001	6.736202845	6.181040671	7.14824078	5.595407474	6.961329286
GID4001	6.86257765	6.689390208	6.916595364	5.639937868	5.558374006
GID4001	7.021889163	7.752360229	7.426031355	7.996178472	8.086770845
GID4001	7.837599777	6.894048981	6.592675868	7.218417346	7.694132648
GID4001	6.423756683	6.181040671	6.819913385	6.374689327	5.767793688
GID4001	4.134081831	4.241849617	4.372063857	4.260048424	4.805577503
GID4001	6.260186659	6.275308577	5.730033041	5.222270377	5.535677163
GID4001	10.12274005	9.733270914	9.871968986	9.254499042	9.030652046
GID4002	8.855532803	8.35642789	8.66409445	8.594304184	8.425848575
GID4002	7.893650696	7.728436472	7.839175406	7.900836657	9.448879337
GID4002	9.037832182	8.693467894	9.033580008	8.609389417	9.784498101
GID4002	8.308598556	7.36080312	7.71616358	6.297375869	7.394843991
GID4002	9.174990027	8.377729068	9.269186956	8.110128579	8.748646235
GID4002	11.15690915	10.40649817	11.06934119	9.752423767	10.04128803
GID4002	8.206987634	8.712938013	8.556604834	8.381384093	9.55295872
GID4002	5.668901434	4.97350449	4.961184683	4.454504618	4.447383315
GID4002	7.779080345	7.424198976	6.659703792	7.306248093	9.092907822
GID4002	9.107407123	9.019575521	8.584589679	9.207611119	10.1203118
GID4002	6.53763195	6.181040671	6.42424266	5.107675946	4.933726639
GID4002	4.636743605	4.757126423	4.896541986	4.23874669	4.175345895
GID4002	8.891909453	9.107447991	8.794398091	10.3466808	9.184706844
GID4003	4.539482755	4.666106	4.061386243	4.528204044	4.868345498
GID4003	6.712207328	8.216946649	7.111533389	7.996178472	7.703353337
GID4003	6.32944743	6.879332568	6.693043052	7.364620228	8.353122691
GID4003	4.341957945	4.487948333	4.603410269	4.850900278	4.955708326
GID4003	6.525731973	5.299352366	5.815353299	5.066146052	5.465964485
GID4003	5.864794308	5.671668556	6.210698238	6.499579798	6.102026954
GID4003	6.748581471	6.590983714	7.069111031	7.458109698	6.081437987
GID4003	8.801690673	9.365011782	9.184435661	10.20213626	9.821516154
GID4003	9.12491491	8.535497128	8.915489618	8.138563866	8.369437167
GID4003	9.18842078	8.763609192	9.663270389	9.686326797	8.611465764
GID4003	9.536115141	9.386120142	9.479074463	9.29679614	9.685478381
GID4003	7.796825418	7.473891823	7.83365264	8.178326417	8.312574557
GID4003	7.748382889	8.239721586	7.76816191	8.800781113	8.895937325
GID4004	8.192574103	8.222617581	7.60967112	8.04538888	8.268443311
GID4004	11.00309676	10.43885113	10.66123044	10.09349287	10.40658121
GID4004	10.13886473	9.735255869	9.992620851	9.488331289	10.21340139
GID4004	8.6758275	8.885775001	8.459024899	8.86851633	9.844966829
GID4004	9.623071286	9.591102996	9.58077822	9.740772909	10.33973955
GID4004	9.329854133	8.974264445	9.345670318	9.459228273	10.07845627
GID4004	7.021889163	6.101010835	6.495996454	6.716231328	6.620766852
GID4004	4.005126761	4.148432252	4.071028389	4.16186264	4.340487247
GID4004	5.148771626	6.237338534	6.312672813	6.036313355	7.450413391
GID4004	6.628864133	7.079345387	6.758112326	6.474832603	6.059235877
GID4004	9.277746884	8.812661159	8.929797001	9.425597835	9.298408084
GID4004	10.27942287	10.41454733	10.0697361	10.28622654	10.82413399
GID4004	8.488069197	8.631839231	8.127643842	9.092907822	8.922939731
GID4005	5.698467999	5.484756656	6.495996454	7.113107082	6.453624672
GID4005	3.8239996	4.539482755	4.535908749	4.528204044	5.626524168
GID4005	9.252504668	9.055860698	9.352100336	8.716372026	9.925499964
GID4005	8.68001056	8.341911404	8.819163706	8.544822587	8.113388234
GID4005	7.206065402	7.306248093	7.504829683	7.213301084	7.640259303
GID4005	7.226223656	6.623760375	6.736819645	6.850977013	7.315857297
GID4005	10.20750341	10.10735297	10.65331604	9.979796939	10.412994
GID4005	4.648293663	4.305527756	4.454895319	4.226809488	4.080357165
GID4005	6.549874305	7.501232919	6.581112636	8.28436505	7.513356089
GID4005	7.666004474	6.748581471	7.440605165	7.290863304	8.564962199
GID4005	10.55853506	10.66688485	10.28950832	10.75242834	11.78380173
GID4005	10.15700442	10.35393334	10.39070049	10.34930974	10.03315733
GID4005	7.19665465	7.95725299	7.751524454	7.587590235	7.839372268
GID4006	9.112017921	9.515843025	9.446361242	9.975884901	10.00456393
GID4006	10.73740118	10.66566415	11.06003777	10.98946823	11.18779328
GID4006	6.398105734	5.756360532	6.484875123	6.103183778	6.823372371
GID4006	9.812168526	9.636671343	9.564317724	9.061862663	10.37415054
GID4006	8.465926643	9.107447991	8.660422145	8.65030289	8.468347204
GID4006	4.855274997	4.892250278	4.454895319	4.891617453	4.6183418
GID4006	5.036185663	4.872443854	4.568375701	4.454504618	4.933726639
GID4006	10.42470185	9.878545506	9.888068965	9.85529798	10.4771519
GID4006	4.467297353	4.148432252	4.58013875	4.150203152	4.447383315
GID4006	5.048746369	5.132976809	4.909925893	4.906836869	4.6183418
GID4006	8.495208584	9.141933488	9.13103902	9.459228273	9.28296713
GID4006	7.854644606	7.970974225	7.682332869	8.075115806	7.264588675
GID4006	10.00201615	9.407388932	9.727432577	9.160093977	9.096124199
GID4007	6.230511447	7.107343083	7.022902161	7.052548116	6.531640368
GID4007	7.546977225	7.249638841	7.344585532	7.530995405	6.474832603
GID4007	7.860669793	7.391897471	7.597278175	7.079012625	7.24227199
GID4007	4.174529074	4.101145544	4.061386243	4.14142973	4.063962575
GID4007	6.806919092	6.638429091	5.839456289	6.790977278	7.999793763
GID4007	7.59692906	7.900836657	7.645894392	7.711870405	8.28761499
GID4007	9.045062111	8.834157445	8.876691991	8.806129171	8.363700159
GID4007	7.617264106	7.381961867	7.491508654	6.951420763	6.605054752
GID4007	8.515739864	8.418224865	8.763505456	7.982072012	8.127160166
