h20	h21	h22	h23	h24	h26	h27	h28	h29	h30	h31	h32	h33	h34	h35	h36	h37	h38	h39	h40	h41	h42	h43	h44	h46	h48	h50	h52	h54	h56	h58	h60
GID4000	5.33645353733453	4.68376669537078	4.79719876326353	4.945761021174	5.07750634970872	4.47429845285851	4.44565353809479	4.69036728022722	4.77228210618816	4.82737039077006	4.89893404553751	5.58161888915425	4.64599993377747	4.6455604495257	4.32148517997775	4.70273503279109	5.02038307176305	4.77556313923308	5.09825532136997	5.23977122632734	4.66800275716235	4.82737039077006	4.66029279632321	4.42119131549062	4.61834179960211	4.64829366301739	4.8922502783749	4.72395275620083	4.90928860069299	4.30751881475585	4.9822660693743	5.08665537685951
GID4000	8.90527651771524	8.70928039659231	9.47907446279153	9.51180360054853	10.7929891426864	8.85971190366276	8.68626249576839	8.39765123089272	8.95577021251608	9.04224289903881	8.906122545006	8.9429565690825	8.82175654006822	8.71240070973212	8.53367344372449	9.2842330915334	8.24508099210695	8.87822577147669	8.85689476986177	9.72084943794	9.2536129940674	9.36289070707588	8.8843446377584	9.83803806444018	9.17143679565686	9.59124912380705	8.91109466733701	8.82225462827613	8.87870474356389	9.08259190842291	9.30590676665054	8.8935693508939
GID4000	7.44215769172746	7.35010459185204	7.44060516482746	5.95153241198089	8.11127029547338	6.32905913505822	7.21602756850845	7.34513991114197	7.02019272783658	6.7855786335556	6.64770474651487	7.4333345732486	7.22739565083316	7.32792472405389	6.8696907215932	6.40447467339769	7.3830422135848	6.8389392277588	6.99655037952497	6.59098371410348	6.75378841488555	6.98995692152001	6.72106542318791	5.95114105107965	5.92489512454891	5.8730722472197	6.54804612169629	5.75922981749326	6.58874889582842	7.41105019798518	6.33466799774075	6.7366163013795
GID4000	8.72438860741616	8.22804078440363	8.3960461295336	8.91193729060488	8.22924317750316	8.94414696259493	8.53549712785488	8.88482158303024	8.76940655513036	9.00560919422286	8.4798844390468	8.63649150728498	8.59768304622108	8.85679752913354	8.45299083278588	9.20661948863625	8.50950595085793	8.9490811871773	8.39001104447854	8.52843273644749	8.42322425823477	8.655511151013	8.73574903393725	9.39277523276232	8.94460454484422	8.79997213442176	9.41737951052207	8.78072685261668	9.01879349387685	8.69694850824612	9.07700969165492	8.62340427727406
GID4000	5.14877162563979	5.79671723748853	5.60541650466325	5.56559916286083	6.38788923577222	5.62482471690338	5.96128180219831	5.68728850603509	5.76395517039702	5.09190032128575	5.51712062493372	5.64046450290678	5.3683670301316	5.84048308295049	5.86273438567515	6.09504513395607	5.40798204749139	5.14247311054896	4.79421904932276	5.62553478224401	5.5438822461177	5.11190408388262	5.51152405310716	5.90720648446847	5.24892679087593	5.33431881126956	4.90532345507638	5.5540508997252	5.96725262871392	5.67166855586143	5.23267562473854	6.18671434888788
GID4000	4.95213636796718	5.25750055831476	5.50883486140666	5.3634346084127	5.43621792103523	5.68253481590689	5.35982571088402	5.93227512875557	5.72869850405768	5.12595534623761	5.46202844744588	6.55977407820859	5.69584457865463	5.7162073036152	4.93372663943958	5.86770961405587	5.18270183595575	6.63678249655632	6.52799386102713	6.42324612229524	5.95670012816925	5.6867563677952	5.70241000013028	6.59313727432385	5.60618180181154	9.4020677389938	5.73955033288328	5.73911811073118	6.55649364231368	6.3280325200073	5.96990145627686	6.80067477646918
GID4000	4.77599834011414	4.8922502783749	4.79719876326353	4.66666872258191	4.45202604166275	4.7138043724543	4.51520193370365	4.42171884204208	4.41269380616064	4.51079737806478	4.74271139921734	4.91519576972858	4.86676613017077	4.75953833968066	4.67913790244123	4.77824048505805	4.73665222492505	4.46677286965498	4.42763158399566	4.81288820231164	4.51038187762131	4.1649487471548	5.11190408388262	4.6153016819207	4.61834179960211	4.35695818859605	4.69512340138849	4.29844923115704	4.81836565557483	4.67913790244123	4.52011683821197	4.91367611399216
GID4000	6.1444782519385	6.93576018977688	6.102554115619	6.58111263582407	5.50690143647359	6.22542662841856	6.67489687339808	6.60763446782789	6.87674691311911	6.34562041542741	6.85097701269122	5.73911811073118	7.17331580787281	7.17054894475716	7.03241635644995	6.5332036269874	7.40866631595691	7.19846064927015	6.59267586847384	7.05353476841554	6.82069049685595	6.68334839048322	7.12177147206807	6.38217030450822	6.03316714071378	6.94605423919107	7.39404037068594	6.51014989105456	7.62869267626854	7.58969358259607	6.91554965585166	6.5848915261612
GID4000	4.50169256497583	4.45320200362578	4.36056753787877	4.52820404388301	4.61264703859556	4.45736369733859	4.66029279632321	4.3728688529988	4.26162062903669	4.79719876326353	4.56249834268033	4.26498872456235	4.64599993377747	4.24752027516522	4.63831888094641	4.30591075882027	4.71238595245647	4.41937717806039	4.58415412276568	4.1509480100037	4.25615188374762	4.61041612718633	4.09974080981158	4.20651727094148	4.365802990083	4.19435871539527	4.60566732245345	4.79906847893867	4.19180217659324	5.00693493562435	4.34595027979057	4.29402379303754
GID4000	4.91093720197864	5.96128180219831	5.08057912545861	5.34997964303172	4.65985866524658	5.46998483053055	4.91891217393912	4.57976368510673	4.90147300415881	5.00758568920031	5.51712062493372	5.06325392772872	4.98829319931401	4.38090339578719	4.80557750347194	5.15035992401165	4.66029279632321	4.64142859003135	5.85962074503118	5.78799862759315	4.58759107646005	4.63876330137113	4.95111097666034	4.65481939865321	5.41908038004705	5.11133702062418	5.01681852339694	4.8965419861088	4.92861074932532	4.56348692925398	4.97350448959773	4.89271841888367
