	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YPR204W	-0.37	-0.48	0.97	0.52	0.18	-0.11	-0.2	-0.53	-0.24	-0.04	0.4	0.62	0.27	-0.31	-0.11	-0.2	-0.09	-0.27
YPR203W	-0.68	-0.19	1.23	0.84	0.14	-0.44	-0.44	-0.75	-0.26	-0.06	0.63	0.98	0.07	-0.24	-0.35	-0.22	-0.33	0.08
YPR202W	-0.79	-0.25	1.18	0.84	0.19	-0.11	-0.42	-0.56	-0.36	-0.12	0.68	0.8	0.08	-0.24	-0.14	-0.27	-0.32	-0.19
YPR201W	0.14	0.225	0.31	-0.19	0.08	-0.08	0.26	0.11	0.13	-0.1	-0.02	-0.05	-0.14	-0.27	-0.19	-0.48	-0.12	0.62
YPR200C	-0.09	0.04	-0.06	-0.07	-0.16	0.12	-0.12	0.36	0.04	0.34	-0.48	-0.2	-0.16	-0.07	1.16	-0.48	0.1	-0.27
YPR199C	0.14	0.09	0.25	-0.02	0.0	0.24	0.06	0.16	-0.04	-0.15	0.06	-0.19	0.0	-0.52	-0.05	-0.05	0.24	-0.2
YPR198W	0.23	-0.03	0.43	-0.06	0.29	0.08	0.43	-0.06	0.07	-0.23	-0.28	-0.34	0.0	-0.43	0.14	-0.21	0.13	-0.15
YPR197C	-0.11	-0.16	0.47	0.52	0.13	-0.27	0.01	-0.14	-0.14	-0.09	-0.35	0.23	0.06	-0.11	0.22	-0.33	-0.13	0.2
YPR196W	0.04	0.2	-0.18	0.41	-0.13	-0.055	0.02	0.26	-0.01	-0.2	-0.22	-0.03	0.15	-0.17	-0.26	-0.03	0.34	-0.2
YPR195C	-0.26	0.24	0.1	0.085	0.07	-0.21	0.0	0.04	0.08	0.03	0.0	-0.09	-0.02	-0.13	0.23	-0.26	0.3	-0.08
YPR194C	-0.1	0.09	0.28	0.04	-0.01	0.025	0.06	0.11	0.25	-0.08	0.08	0.06	-0.12	-0.22	-0.18	0.17	-0.32	-0.03
